Order_ID,Customer_Name,Gender,Category,Product,Quantity,Unit_Price,Discount,Order_Date,Sales_Channel,Region,Phone,Product_Name_Duplicate
1000.0,Riya,Female,Clothing,Jacket,1.0,199.0,10.0,01-25-2024,Wholesale,,9876543210,Jacket
1001.0,Sam,Female,GROCERIES,Rice,4.0,499.0,0.0,10-26-2024,Retail,,,Rice
1002.0,Sam,,electronics,Tablet,,499.0,,01-02-2024,Wholesale,South,9876543210,Tablet
1003.0,John,Male,Electronics,Mobile,,,5.0,03-27-2024,Retail,East,9876543210,Mobile
1004.0,John,Female, CLOTHING ,Shirt,5.0,,10.0,08-30-2024,Retail,West,,Shirt
1005.0,Maria,Female, CLOTHING ,Jacket,1.0,,,03-13-2024,Wholesale,North,-9876543119,Jacket
1006.0,Sam,Female,Groceries,Bananas,2.0,199.0,,09-16-2024,Online,North,9876543210,Bananas
1007.0,John,Male,electronics,Tablet,,,5.0,01-21-2024,Wholesale,,91-9988776655,Tablet
1008.0,Riya,,Furniture,Chair,4.0,199.0,5.0,01-09-2025,Online,,,Chair
1009.0,Ali,Male, CLOTHING ,Shirt,3.0,,10.0,07-14-2024,,West,,Shirt
1010.0,Sam,Male,Electronics,Tablet,,,10.0,02-27-2024,,North,,Tablet
1011.0,Wei,Female,Groceries,Bananas,5.0,1500.0,,03-19-2024,Online,North,-9876543119,Bananas
1012.0,Asha,,Electronics,Tablet,,,,01-30-2025,Online,East,,Tablet
1013.0,Chen,Male,electronics,Tablet,,,10.0,04-10-2025,Wholesale,,91-9988776655,Tablet
1014.0,John,Female,GROCERIES,Bananas,3.0,,5.0,03-20-2024,Retail,North,,Bananas
1015.0,Ali,Female,Groceries,Bananas,5.0,199.0,,03-16-2025,Retail,South,9876543210,Bananas
1016.0,Emily,Female,Electronics,Mobile,1.0,199.0,5.0,07-25-2024,Retail,East,,Mobile
1017.0,John,Female,Furniture,Sofa,1.0,,,02-10-2025,Wholesale,North,9876543210,Sofa
1018.0,Sam,,Groceries,Apples,3.0,,15.0,02-26-2025,Wholesale,North,-9876543119,Apples
1019.0,Emily,Male,Groceries,Bananas,,499.0,0.0,11-11-2024,Retail,South,9876543210,Bananas
1020.0,Wei,Male,GROCERIES,Rice,,999.0,,03-20-2024,Retail,North,,Rice
1021.0,Ali,Male,Groceries,Rice,4.0,999.0,10.0,02-11-2024,Online,North,9876543210,Rice
1022.0,John,Male,electronics,Laptop,5.0,199.0,,03-26-2024,Online,East,9876543210,Laptop
1023.0,Wei,Female,Clothing,Jacket,4.0,1500.0,0.0,10-30-2024,Online,East,,Jacket
1024.0,Wei,,Furniture,Desk,,,10.0,10-31-2024,Online,South,9876543210,Desk
1025.0,Chen,Male, CLOTHING ,Shirt,2.0,199.0,,12-26-2024,Online,,91-9988776655,Shirt
1026.0,Wei,Male, CLOTHING ,Shirt,1.0,999.0,,03-30-2025,Wholesale,West,-9876543119,Shirt
1027.0,Chen,Female, CLOTHING ,Shirt,,,15.0,04-15-2025,,East,,Shirt
1028.0,John,,Clothing,Shirt,3.0,,10.0,12-29-2024,,,-9876543119,Shirt
